Name,Index
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",170944
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",170945
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",170946
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",171339
"Babyfood, prunes, without vitamin c, strained",171340
"Babyfood, fruit dessert, mango with tapioca",171341
"Babyfood, pears, dices, toddler",171342
"Babyfood, fruit, applesauce and apricots, strained",170947
"Babyfood, fruit, applesauce and apricots, junior",170948
"Babyfood, fruit, applesauce and cherries, strained",170949
"Babyfood, fruit, applesauce and cherries, junior",170950
"Babyfood, fruit, applesauce with banana, junior",170951
"Babyfood, fruit, applesauce and pineapple, strained",171343
"Babyfood, fruit, applesauce and pineapple, junior",171344
"Babyfood, fruit, apple and raspberry, strained",171345
"Babyfood, fruit, apple and raspberry, junior",171346
"Babyfood, fruit and vegetable, apple and sweet potato",170952
"Babyfood, fruit, bananas and pineapple with tapioca, junior",170953
"Babyfood, fruit, bananas and pineapple with tapioca, strained",170954
"Babyfood, fruit, pears and pineapple, strained",170955
"Babyfood, fruit, pears and pineapple, junior",171347
"Babyfood, fruit, guava and papaya with tapioca, strained",171348
"Babyfood, peaches, dices, toddler",171349
"Babyfood, fruit, papaya and applesauce with tapioca, strained",171350
"Babyfood, fruit, bananas with apples and pears, strained",170956
"Babyfood, fruit, apple and blueberry, strained",170957
"Babyfood, fruit, apple and blueberry, junior",170958
"Babyfood, juice, apple",170959
"Babyfood, apple-banana juice",171351
"Babyfood, juice, apple and peach",171352
"Babyfood, juice, apple and prune",171353
"Babyfood, juice, orange",171354
"Babyfood, juice, orange and apple",171355
"Babyfood, juice, orange and apple and banana",170960
"Babyfood, juice, orange and apricot",170961
"Babyfood, juice, orange and banana",170962
"Babyfood, juice, orange and pineapple",170963
"Babyfood, juice, prune and orange",171356
"Babyfood, juice, mixed fruit",171357
"Babyfood, cereal, barley, dry fortified",171358
"Babyfood, cereal, whole wheat, with apples, dry fortified",171359
"Babyfood, cereal, mixed, dry fortified",170964
"Babyfood, cereal, mixed, with bananas, dry",170965
"Babyfood, cereal, mixed, with applesauce and bananas, strained",170966
